,ticker,date,poswords,negwords,daily_filing_count
0,ALXN,0,5957.0,7071.0,46
1,ALXN,2002-06-14,1474.0,2072.0,1
2,ALXN,2002-10-29,7644.0,9001.0,1
3,ALXN,2002-12-11,2810.0,3644.0,1
4,ALXN,2003-02-03,139.0,181.0,1
5,ALXN,2003-03-17,8207.0,24854.0,1
6,ALXN,2003-06-13,2492.0,5327.0,1
7,ALXN,2003-08-07,80.0,115.0,1
8,ALXN,2003-09-22,274.0,273.0,1
9,ALXN,2003-10-27,8587.0,17211.0,1
10,ALXN,2003-12-12,2271.0,4964.0,1
11,ALXN,2004-02-10,146.0,188.0,1
12,ALXN,2004-02-13,444.0,1818.0,1
13,ALXN,2004-02-17,181.0,194.0,1
14,ALXN,2004-03-15,4067.0,9006.0,1
15,ALXN,2004-06-04,4745.0,11582.0,1
16,ALXN,2004-09-27,9597.0,20270.0,1
17,ALXN,2004-12-06,2224.0,4865.0,1
18,ALXN,2004-12-16,2654.0,5264.0,1
19,ALXN,2005-01-07,276.0,388.0,1
20,ALXN,2005-01-18,135.0,530.0,1
21,ALXN,2005-01-20,182.0,612.0,1
22,ALXN,2005-01-25,9834.0,17449.0,1
23,ALXN,2005-02-04,160.0,167.0,1
24,ALXN,2005-02-14,541.0,553.0,1
25,ALXN,2005-03-08,3311.0,7084.0,2
26,ALXN,2005-03-14,487.0,1703.0,1
27,ALXN,2005-03-16,184.0,717.0,1
28,ALXN,2005-06-03,448.0,1197.0,1
29,ALXN,2005-06-09,3615.0,7900.0,1
30,ALXN,2005-07-19,168.0,171.0,1
31,ALXN,2005-08-08,127.0,476.0,1
32,ALXN,2005-08-12,2321.0,4431.0,1
33,ALXN,2005-08-17,122.0,486.0,1
34,ALXN,2005-09-02,1479.0,3611.0,1
35,ALXN,2005-09-26,94.0,392.0,1
36,ALXN,2005-10-05,502.0,1276.0,1
37,ALXN,2005-10-11,9674.0,20094.0,1
38,ALXN,2005-10-21,297.0,459.0,1
39,ALXN,2005-11-14,2166.0,5529.0,1
40,ALXN,2005-11-23,247.0,846.0,1
41,ALXN,2005-11-29,80.0,120.0,1
42,ALXN,2005-11-30,1778.0,6061.0,1
43,ALXN,2005-12-06,3341.0,7557.0,2
44,ALXN,2005-12-14,75.0,345.0,1
45,ALXN,2006-01-11,89.0,356.0,1
