,ticker,year,month,gs_poswords,gs_negwords
0,ALXN,2011,10,149,272
1,ALXN,2011,12,8627,26161
2,ALXN,2012,1,180,398
3,ALXN,2012,6,90,199
4,ALXN,2012,8,59,73
5,ALXN,2012,9,59,73
6,ALXN,2012,10,90,199
7,ALXN,2013,5,59,73
8,ALXN,2013,7,90,199
9,ALXN,2013,10,59,73
10,ALXN,2013,11,1843,3837
11,ALXN,2014,4,59,73
12,ALXN,2014,5,59,73
13,ALXN,2014,8,270,597
14,ALXN,2014,9,59,73
15,ALXN,2014,10,90,199
16,ALXN,2014,11,59,73
17,ALXN,2015,4,59,73
18,ALXN,2015,7,59,73
19,ALXN,2015,8,149,272
20,ALXN,2015,9,59,73
21,ALXN,2015,10,177,219
22,ALXN,2015,11,149,272
23,ALXN,2015,12,177,220
24,ALXN,2016,2,20894,58537
25,ALXN,2016,4,90,199
26,ALXN,2016,5,59,73
27,ALXN,2016,6,59,73
28,ALXN,2016,7,177,220
29,ALXN,2016,8,59,73
30,ALXN,2016,10,177,219
31,ALXN,2016,11,177,219
32,ALXN,2016,12,478,943
33,ALXN,2017,1,298,544
34,ALXN,2017,2,118,146
35,ALXN,2017,3,20335,57163
36,ALXN,2017,4,444,637
37,ALXN,2017,5,59,73
38,ALXN,2017,7,90,199
39,ALXN,2017,8,4768,8014
40,ALXN,2017,9,17791,48754
41,ALXN,2017,10,90,199
42,ALXN,2017,11,118,146
43,ALXN,2017,12,180,398
44,ALXN,2018,1,33676,93422
45,ALXN,2018,2,59,73
46,ALXN,2018,3,52462,147043
47,ALXN,2018,7,118,146
48,ALXN,2018,8,149,272
49,ALXN,2018,9,17333,48963
50,ALXN,2018,10,177,219
51,ALXN,2018,11,149,272
52,ALXN,2018,12,90,199
53,ALXN,2019,1,163852,332061
54,ALXN,2019,2,228767,463743
55,ALXN,2019,3,16461,51929
56,ALXN,2019,4,119277,385952
57,ALXN,2019,5,388,743
58,ALXN,2019,6,90,199
59,ALXN,2019,7,149,272
60,ALXN,2019,8,149,272
61,ALXN,2019,9,148,274
62,ALXN,2019,10,254,535
63,ALXN,2019,11,390,924
64,ALXN,2019,12,300,725
65,ALXN,2020,1,405404,854603
66,ALXN,2020,2,239,471
67,ALXN,2020,3,180,398
68,ALXN,2020,4,59,73
69,ALXN,2020,5,239,471
70,ALXN,2020,6,90,199
71,ALXN,2020,7,118,146
72,ALXN,2020,11,208,345
73,ALXN,2020,12,90,199
74,AMGN,2010,1,239,471
75,AMGN,2010,3,59,73
76,AMGN,2010,4,90,199
77,AMGN,2010,5,59,73
78,AMGN,2010,7,90,199
79,AMGN,2010,8,239,471
80,AMGN,2010,9,59,73
81,AMGN,2010,10,149,272
82,AMGN,2010,11,570,1186
83,AMGN,2010,12,270,597
84,AMGN,2011,1,149,272
85,AMGN,2011,4,118,146
86,AMGN,2011,8,90,199
87,AMGN,2011,9,90,199
88,AMGN,2011,10,239,471
89,AMGN,2011,12,90,199
90,AMGN,2012,1,90,199
91,AMGN,2012,5,118,146
92,AMGN,2012,7,90,199
93,AMGN,2012,8,180,398
94,AMGN,2012,9,59,86
95,AMGN,2012,10,4962,20750
96,AMGN,2012,11,59,73
97,AMGN,2012,12,149,272
98,AMGN,2013,1,59,73
99,AMGN,2013,2,59,73
100,AMGN,2013,3,59,73
101,AMGN,2013,5,59,73
102,AMGN,2013,7,59,73
103,AMGN,2013,8,118,146
104,AMGN,2013,9,4557,7892
105,AMGN,2013,10,59,73
106,AMGN,2013,11,149,272
107,AMGN,2014,1,118,146
108,AMGN,2014,2,18370,41944
109,AMGN,2014,3,165330,377496
110,AMGN,2014,6,139131,309564
111,AMGN,2014,7,59,73
112,AMGN,2014,10,5762,9485
113,AMGN,2014,11,5864,9539
114,AMGN,2014,12,941,2266
115,AMGN,2015,3,59,73
116,AMGN,2015,6,59,73
117,AMGN,2015,8,59,73
118,AMGN,2015,9,118,146
119,AMGN,2015,10,59,73
120,AMGN,2015,11,118,146
121,AMGN,2016,1,177,219
122,AMGN,2016,2,177,219
123,AMGN,2016,4,59,73
124,AMGN,2016,5,177,219
125,AMGN,2016,6,118,146
126,AMGN,2016,7,354,438
127,AMGN,2016,8,118,146
128,AMGN,2016,9,118,146
129,AMGN,2016,10,177,219
130,AMGN,2016,11,118,146
131,AMGN,2016,12,357,617
132,AMGN,2017,1,683,1108
133,AMGN,2017,2,55038,131328
134,AMGN,2017,3,227099,426410
135,AMGN,2017,4,464,1278
136,AMGN,2017,6,107,479
137,AMGN,2017,7,118,146
138,AMGN,2017,8,102,325
139,AMGN,2017,9,59,73
140,AMGN,2017,10,354,439
141,AMGN,2018,1,267,418
142,AMGN,2018,2,177,219
143,AMGN,2018,3,59,73
144,AMGN,2018,4,118,146
145,AMGN,2018,5,177,219
146,AMGN,2018,6,59,74
147,AMGN,2018,7,208,345
148,AMGN,2018,8,208,345
149,AMGN,2018,9,118,146
150,AMGN,2018,10,565,962
151,AMGN,2018,11,267,418
152,AMGN,2018,12,12501,40456
153,AMGN,2019,1,416,690
154,AMGN,2019,2,31321,61579
155,AMGN,2019,3,62023,197985
156,AMGN,2019,4,15574,49318
157,AMGN,2019,5,88217,171279
158,AMGN,2019,6,86353,166149
159,AMGN,2019,7,31647,62071
160,AMGN,2019,8,31206,61612
161,AMGN,2019,9,62067,122492
162,AMGN,2019,10,62710,123768
163,AMGN,2019,11,357,617
164,AMGN,2019,12,447,816
165,AMGN,2020,1,125346,263860
166,AMGN,2020,2,444,637
167,AMGN,2020,3,310,429
168,AMGN,2020,4,22557,40091
169,AMGN,2020,5,21758,40278
170,AMGN,2020,6,118,146
171,AMGN,2020,7,59,73
172,AMGN,2020,9,236,292
173,AMGN,2020,10,413,511
174,AMGN,2020,11,413,511
175,AMGN,2020,12,413,511
176,BIIB,2010,1,180,398
177,BIIB,2010,2,11349,33879
178,BIIB,2010,3,46727,136797
179,BIIB,2010,5,90,199
180,BIIB,2010,6,149,272
181,BIIB,2010,7,59,73
182,BIIB,2010,8,149,272
183,BIIB,2010,9,177,219
184,BIIB,2010,10,90,199
185,BIIB,2010,12,118,146
186,BIIB,2011,1,180,398
187,BIIB,2011,3,59,73
188,BIIB,2011,4,59,73
189,BIIB,2011,6,90,199
190,BIIB,2011,8,59,73
191,BIIB,2011,10,90,199
