value,date
58.0,2010-05-01
53.0,2010-06-01
45.0,2010-07-01
46.0,2010-08-01
57.0,2010-09-01
58.0,2010-10-01
58.0,2010-11-01
56.0,2010-12-01
68.0,2011-01-01
64.0,2011-02-01
80.0,2011-03-01
84.0,2011-04-01
78.0,2011-05-01
64.0,2011-06-01
52.0,2011-07-01
55.0,2011-08-01
69.0,2011-09-01
70.0,2011-10-01
70.0,2011-11-01
67.0,2011-12-01
66.0,2012-01-01
69.0,2012-02-01
66.0,2012-03-01
69.0,2012-04-01
74.0,2012-05-01
59.0,2012-06-01
47.0,2012-07-01
54.0,2012-08-01
68.0,2012-09-01
69.0,2012-10-01
70.0,2012-11-01
69.0,2012-12-01
64.0,2013-01-01
64.0,2013-02-01
63.0,2013-03-01
73.0,2013-04-01
69.0,2013-05-01
47.0,2013-06-01
41.0,2013-07-01
42.0,2013-08-01
64.0,2013-09-01
73.0,2013-10-01
67.0,2013-11-01
65.0,2013-12-01
65.0,2014-01-01
66.0,2014-02-01
67.0,2014-03-01
72.0,2014-04-01
74.0,2014-05-01
50.0,2014-06-01
42.0,2014-07-01
45.0,2014-08-01
72.0,2014-09-01
80.0,2014-10-01
72.0,2014-11-01
74.0,2014-12-01
67.0,2015-01-01
67.0,2015-02-01
75.0,2015-03-01
79.0,2015-04-01
83.0,2015-05-01
55.0,2015-06-01
43.0,2015-07-01
49.0,2015-08-01
76.0,2015-09-01
89.0,2015-10-01
80.0,2015-11-01
79.0,2015-12-01
65.0,2016-01-01
71.0,2016-02-01
77.0,2016-03-01
86.0,2016-04-01
86.0,2016-05-01
54.0,2016-06-01
41.0,2016-07-01
51.0,2016-08-01
77.0,2016-09-01
84.0,2016-10-01
77.0,2016-11-01
72.0,2016-12-01
70.0,2017-01-01
73.0,2017-02-01
83.0,2017-03-01
79.0,2017-04-01
81.0,2017-05-01
52.0,2017-06-01
38.0,2017-07-01
46.0,2017-08-01
70.0,2017-09-01
88.0,2017-10-01
81.0,2017-11-01
73.0,2017-12-01
65.0,2018-01-01
76.0,2018-02-01
76.0,2018-03-01
86.0,2018-04-01
88.0,2018-05-01
56.0,2018-06-01
42.0,2018-07-01
52.0,2018-08-01
74.0,2018-09-01
100.0,2018-10-01
80.0,2018-11-01
76.0,2018-12-01
73.0,2019-01-01
77.0,2019-02-01
82.0,2019-03-01
83.0,2019-04-01
88.0,2019-05-01
58.0,2019-06-01
41.0,2019-07-01
51.0,2019-08-01
77.0,2019-09-01
94.0,2019-10-01
79.0,2019-11-01
