,word,coef_value
0,weak,-1.2557480303315258
1,la,-1.0299768371522426
2,phase,-0.934528988280967
3,taken,-0.8747464668952114
4,newly,-0.8719816389111973
5,delay,-0.8381060362932276
6,license,-0.8335557027603553
7,quickly,-0.8230543633775551
8,ways,-0.7750603187060745
9,ancillary,-0.7673181582264502
10,mining,-0.7539483508778009
11,unknown,-0.7521104521733372
12,supplementary,-0.7510113387741594
13,did,-0.7479380470236555
14,group,-0.7477455726041168
15,competitive,-0.7415211214924816
16,diverse,-0.7400189317855076
17,list,-0.7355401699489561
18,ongoing,-0.7291419074033023
19,pressure,-0.7170096364460431
20,family,-0.714252975115755
21,efficient,-0.7139739219331047
22,opportunity,-0.6964429852470941
23,depletion,-0.6871262458188244
24,scope,-0.6807317705136001
25,assistant,-0.6791150328409171
26,expedient,-0.675729725221582
27,medium,-0.6664526946016474
28,practice,-0.6633820120420122
29,ago,-0.6596708443427012
30,daily,-0.6586808025632257
31,sustain,-0.6528968964088048
32,engineering,-0.6514827746006446
33,considering,-0.6509138873073449
34,offering,-0.6377421330224973
35,safety,-0.633844363804375
36,percent,-0.6291205547510227
37,shopping,-0.6285317330505928
38,el,-0.6280504917172234
39,monetary,-0.6223832377730174
40,al,-0.609096180159409
41,furthermore,-0.6059858561160562
42,lapse,-0.6007714299980066
43,provisional,-0.5922916818873422
44,decline,-0.5888530118023978
45,construction,-0.5866205055903261
46,conduct,-0.5838509056205798
47,drug,-0.5829499720092268
48,readily,-0.582336288424033
49,absent,-0.5822259204431043
50,discrete,-0.5822060818371363
51,recognition,-0.5815300084698998
52,deep,-0.580756006498496
53,severe,-0.5805229810423744
54,analysis,-0.5745498655705393
55,indication,-0.5710596812762052
56,produced,-0.5670630267990825
57,oh,-0.566550386948956
58,statistical,-0.5654563585590376
59,instrument,-0.5591203830011923
60,political,-0.5561440511358808
61,premium,-0.554653214835749
62,globally,-0.5533286369414488
63,integral,-0.552031413093494
64,corp,-0.5516514386702407
65,perform,-0.5514232772604167
66,determine,-0.5465417858111808
67,difference,-0.5430385490031777
68,resource,-0.5414299744253129
69,measured,-0.5403149564329902
70,soon,-0.5366953970792461
71,indicative,-0.5353394937862379
72,supplemental,-0.5343412723119884
73,project,-0.5324790838067237
74,fourth,-0.5291244322047896
75,relatively,-0.5288632337527659
76,advised,-0.5279958736014705
77,extraordinary,-0.5275340000160145
78,commonly,-0.5267263732875618
79,carried,-0.5252955342733348
80,extinguishment,-0.522961295544499
81,convenience,-0.5216283539781592
82,priced,-0.5212987825813862
83,social,-0.5209406832266352
84,prime,-0.5186354142323492
85,look,-0.5182485172097536
86,concerning,-0.5177768764226114
87,county,-0.516521126291873
88,health,-0.5142690057092957
89,relationship,-0.513673300456289
90,maximum,-0.5126043931080402
91,alternative,-0.5117254770815493
92,respond,-0.5101822646047235
93,client,-0.5090298735247112
94,accurately,-0.5087128070918777
95,outcome,-0.5079471511659271
96,secretary,-0.5072396006223693
97,nonperformance,-0.5017290851300255
98,different,-0.4993869207306311
99,caution,-0.49820010403383563
100,need,-0.4964395918565717
101,stay,-0.493794460064322
102,ad,-0.4913268658171949
103,unit,-0.4907963902767606
104,expressed,-0.4894230645936836
105,disclaim,-0.4893222352588871
106,forward,-0.48714681056154396
107,targeted,-0.4862234780075189
108,expansion,-0.4861586138387587
109,foreseeable,-0.48531754896276225
110,underlying,-0.4850760866657363
111,chapter,-0.4850488132676271
112,copy,-0.48407772636638297
113,clean,-0.48324463398942796
114,card,-0.48297846518338805
115,leasing,-0.4815138944526058
116,harm,-0.48088779591903824
117,fulfill,-0.48033112696600117
118,tier,-0.47962694863545957
119,store,-0.47848248305362945
120,confident,-0.4756777451098044
121,necessarily,-0.4751049261761309
122,boulevard,-0.4741710103229968
123,quarters,-0.4703800071031452
124,june,-0.46989547393359976
125,car,-0.4697666744462565
126,sell,-0.4676165035612547
127,special,-0.46623401102089174
128,recognize,-0.4655010819019182
129,enterprise,-0.4653582268272106
130,setting,-0.4647258337725611
131,site,-0.4646892727324112
132,internally,-0.46442985974810447
133,looking,-0.4636125596007463
134,administration,-0.4616867914623656
135,redeemable,-0.4605568729459664
136,policy,-0.4599231680835989
137,semiannually,-0.45968196530668903
138,xi,-0.4594080732309759
139,reflected,-0.45896795483275
140,especially,-0.4571073258476416
141,near,-0.45608049869640416
142,flat,-0.4557920177618683
143,dialing,-0.45435337017577637
144,force,-0.45142881140853797
145,measure,-0.4509765908225506
146,view,-0.4503299263489778
147,traditional,-0.4486202950779171
148,assigned,-0.44752456355679615
149,amend,-0.44553304174255637
150,goods,-0.44255221208682244
151,improve,-0.4409526417627888
152,listen,-0.44081909145165543
153,wholesale,-0.4382288551786179
154,remedial,-0.4319090849587772
155,diva,-0.43159816540226736
156,restricted,-0.4310418194435928
157,exposure,-0.4306479485334062
158,hold,-0.43049991298427764
159,approve,-0.42882535693658663
160,enforce,-0.4278826805847269
161,maintain,-0.4244386190783781
162,diversified,-0.41937534488306355
163,branded,-0.41920056281001683
164,manner,-0.4186197465851436
165,geographic,-0.4173572452706382
166,manage,-0.41693455502495264
167,week,-0.4168221824624975
168,negatively,-0.41569015962631706
169,recovery,-0.41545975546954933
170,ai,-0.4137359614424365
171,voting,-0.4135481322916508
172,community,-0.4132932556154483
173,book,-0.4111774453209605
174,choice,-0.41079529197252906
175,retrospective,-0.41010447997478444
176,continually,-0.40908252638697035
177,recall,-0.4086340472580174
178,retention,-0.4082432121411399
179,remain,-0.40815662093879407
180,rapidly,-0.408019669803945
181,communicate,-0.4077505023126806
182,classified,-0.4056211366433525
183,drilling,-0.40427627635290775
184,infrastructure,-0.4039182002950611
185,matter,-0.40386877929044146
186,people,-0.40362159510035484
187,impacted,-0.40315836172948744
188,highly,-0.4025098942608081
189,mainly,-0.4009646712444196
190,borrowing,-0.3974637338794082
191,originally,-0.3961901120438012
192,sentence,-0.3929181290964798
193,march,-0.3924700293629139
194,infringement,-0.3923952606581347
195,opening,-0.39026506228906016
196,outlook,-0.3898850123142798
197,receipts,-0.3885143835385707
198,significance,-0.3824241085749012
199,raw,-0.38237463480848033
200,indemnify,-0.38199247539849973
201,deliver,-0.3816403987550025
202,substance,-0.3803045765779015
203,committee,-0.3799455920953188
204,prove,-0.3797224718282058
205,care,-0.3768439888958223
206,took,-0.37635678778407616
207,reorganization,-0.3763546954995305
208,innovation,-0.3758662259394005
209,diesel,-0.37454732241894517
210,optional,-0.3731992802649435
211,mo,-0.3730004750351721
212,validity,-0.37232144610516865
213,damages,-0.37205058177038536
214,institution,-0.3720128771063217
215,style,-0.37199198670708084
216,real,-0.3708684639758279
217,entity,-0.3694811471752576
218,cautionary,-0.3691840906478949
219,interim,-0.36913917805736857
220,large,-0.3690534861295602
221,redeem,-0.3687087243811913
222,combined,-0.36794124208220597
223,reduction,-0.367434888710702
224,determination,-0.36580976130466936
225,difficult,-0.3655255131994143
226,leave,-0.3650540377494981
227,intention,-0.3639402082321863
228,minority,-0.3631966807416641
229,attached,-0.361721210700558
230,frequency,-0.36127825304809813
231,finally,-0.36090356299595133
232,small,-0.36067108198297115
233,hereunder,-0.35918562360800593
234,royalty,-0.35912229582682925
235,exclusive,-0.3587660490297548
236,environment,-0.35863016532592534
237,sa,-0.35773554450325007
238,food,-0.3560426334713002
239,reclassification,-0.35435056414078914
240,evidence,-0.35245215235589566
241,drawn,-0.3518215482649339
242,age,-0.3516938215861792
243,mobile,-0.35117310079504593
244,consolidate,-0.35048334259280484
245,best,-0.3503217618464427
246,remote,-0.34902738149706825
247,installation,-0.3489766980684694
248,approach,-0.3487085517084479
249,commercial,-0.3487017560147589
250,continuous,-0.34764167749751224
251,help,-0.3467739228410776
252,reverse,-0.3463762691407773
253,user,-0.3461343790539182
254,disaster,-0.34581057104667257
255,come,-0.34463061422744673
256,dispose,-0.3435069065558751
257,pound,-0.3422045590978669
258,intellectual,-0.3415503223515821
259,clearance,-0.3400338226596378
260,reasonably,-0.33888346371443184
261,collapse,-0.33878452553431415
262,clarify,-0.337983615177638
263,notified,-0.337812480970283
264,focus,-0.33771395851129643
265,primary,-0.3351579050186358
266,reconciliation,-0.3339516470603743
267,strengthening,-0.3325538681143428
268,executed,-0.3319178249033286
269,import,-0.33095519962683717
270,beneficiary,-0.3304611341424913
271,slightly,-0.3302868919897451
272,page,-0.3296675098976795
273,involve,-0.32941754362963827
274,avenue,-0.3274159051806766
275,estimation,-0.32717459812946437
276,block,-0.32528091986342844
277,accrue,-0.3236657958427728
278,assessment,-0.3234199835148786
279,removed,-0.32325970261751896
280,patent,-0.3225348691495116
281,ratably,-0.321582441845873
282,ahead,-0.3206257337157832
283,potentially,-0.31997501117183463
284,region,-0.31871027438978444
285,parkway,-0.3182057739983186
286,escrow,-0.3180039295290925
287,award,-0.3170069955280021
288,initiative,-0.3167009277101934
289,wo,-0.3166150759838056
290,renewal,-0.3161984220125375
291,complaint,-0.31618992597541545
292,justice,-0.3161321625949489
293,privacy,-0.3142583534844386
294,water,-0.3137016473057217
295,pass,-0.3135897330233578
296,previous,-0.31317810321372613
297,equally,-0.3130747029292486
298,spot,-0.31230120175055515
299,wi,-0.30932347673030625
300,duty,-0.30929703508574025
301,clinical,-0.30896447091252843
302,know,-0.30854660962706953
303,automotive,-0.30841051377423945
304,listing,-0.3077716509522691
305,routine,-0.30710598131138495
306,divided,-0.30658897679978986
307,offshore,-0.30653148628587584
308,healthy,-0.3060867784785399
309,population,-0.30510493898250296
310,immediately,-0.3049132847497934
311,shift,-0.3043648262471131
312,oral,-0.3036837051218403
313,licensed,-0.30244940031024176
314,discovery,-0.3021967262261662
315,rising,-0.30143671163104124
316,input,-0.3012831161988535
317,accrual,-0.30104013127219165
318,frequently,-0.3000431108525599
319,response,-0.299986596033366
320,schedule,-0.29989572859300456
321,eu,-0.299718916659258
322,legislation,-0.2993415526685818
323,team,-0.29896955763839944
324,discuss,-0.29844140352673804
325,preserve,-0.29837574196197497
326,seasoned,-0.29819720116335624
327,annually,-0.2969443697186669
328,investigation,-0.29481609238928935
329,month,-0.2943379968843071
330,appropriately,-0.2933377999756494
331,withdrawal,-0.2914309665893408
332,modify,-0.28982243440856914
333,fuel,-0.289420989612473
334,align,-0.2891057854145373
