date,sp500
1/4/2010,1867.060059
1/5/2010,1872.900024
1/6/2010,1874.72998
1/7/2010,1882.339966
1/8/2010,1887.77002
1/11/2010,1891.060059
1/12/2010,1873.319946
1/13/2010,1889.099976
1/14/2010,1893.719971
1/15/2010,1873.300049
1/19/2010,1896.719971
1/20/2010,1876.900024
1/21/2010,1841.390015
1/22/2010,1800.609985
1/25/2010,1808.930054
1/26/2010,1801.339966
1/27/2010,1810.209961
1/28/2010,1788.969971
1/29/2010,1771.400024
2/1/2010,1796.670044
2/2/2010,1819.98999
2/3/2010,1810.640015
2/4/2010,1754.300049
2/5/2010,1759.380005
2/8/2010,1744.369995
2/9/2010,1767.180054
2/10/2010,1763.689941
2/11/2010,1781.01001
2/12/2010,1776.5
2/16/2010,1808.719971
2/17/2010,1816.699951
2/18/2010,1828.810059
2/19/2010,1833.089966
2/22/2010,1831.209961
2/23/2010,1809.050049
2/24/2010,1826.98999
2/25/2010,1823.640015
2/26/2010,1826.27002
3/1/2010,1844.869995
3/2/2010,1849.170044
3/3/2010,1850.23999
3/4/2010,1857.199951
3/5/2010,1883.280029
3/8/2010,1883.290039
3/9/2010,1886.599976
3/10/2010,1895.380005
3/11/2010,1903.680054
3/12/2010,1903.290039
3/15/2010,1904.189941
3/16/2010,1919.02002
3/17/2010,1930.219971
3/18/2010,1929.630005
3/19/2010,1919.800049
3/22/2010,1929.640015
3/23/2010,1943.699951
3/24/2010,1933.040039
3/25/2010,1929.75
3/26/2010,1931.180054
3/29/2010,1942.51001
3/30/2010,1942.810059
3/31/2010,1936.47998
4/1/2010,1950.910034
4/5/2010,1966.439941
4/6/2010,1969.76001
4/7/2010,1959.040039
4/8/2010,1965.719971
4/9/2010,1978.859985
4/12/2010,1982.400024
4/13/2010,1983.910034
4/14/2010,2006.060059
4/15/2010,2007.73999
4/16/2010,1975.359985
4/19/2010,1984.319946
4/20/2010,2000.329956
4/21/2010,1998.310059
4/22/2010,2002.930054
4/23/2010,2017.189941
4/26/2010,2008.550049
4/27/2010,1961.599976
4/28/2010,1974.630005
4/29/2010,2000.339966
4/30/2010,1967.050049
5/3/2010,1992.869995
5/4/2010,1945.369995
5/5/2010,1933.25
5/6/2010,1870.949951
5/7/2010,1842.319946
5/10/2010,1923.390015
5/11/2010,1917.25
5/12/2010,1944.25
5/13/2010,1920.76001
5/14/2010,1884.670044
5/17/2010,1887.109985
5/18/2010,1860.650024
5/19/2010,1851.280029
5/20/2010,1779.300049
5/21/2010,1806.050049
5/24/2010,1782.77002
5/25/2010,1783.400024
5/26/2010,1773.650024
5/27/2010,1832.609985
5/28/2010,1809.97998
6/1/2010,1778.98999
6/2/2010,1825.25
6/3/2010,1832.719971
6/4/2010,1769.719971
6/7/2010,1745.869995
6/8/2010,1765.290039
6/9/2010,1754.910034
6/10/2010,1806.689941
6/11/2010,1815.26001
6/14/2010,1812.02002
6/15/2010,1854.609985
6/16/2010,1853.619995
6/17/2010,1856.25
6/18/2010,1858.699951
6/21/2010,1851.550049
6/22/2010,1822.050049
6/23/2010,1816.650024
6/24/2010,1786.130005
6/25/2010,1791.23999
6/28/2010,1787.939941
6/29/2010,1732.550049
6/30/2010,1715.22998
7/1/2010,1709.77002
7/2/2010,1701.859985
7/6/2010,1710.969971
7/7/2010,1765.420044
7/8/2010,1782.099976
7/9/2010,1794.939941
7/12/2010,1796.300049
7/13/2010,1824.069946
7/14/2010,1823.819946
7/15/2010,1826
7/16/2010,1773.430054
7/19/2010,1784.060059
7/20/2010,1804.47998
7/21/2010,1781.599976
7/22/2010,1821.76001
7/23/2010,1836.75
7/26/2010,1857.329956
7/27/2010,1855.390015
7/28/2010,1842.660034
7/29/2010,1835.290039
7/30/2010,1835.400024
8/2/2010,1875.849976
8/3/2010,1866.869995
8/4/2010,1878.810059
8/5/2010,1876.51001
8/6/2010,1869.77002
8/9/2010,1880.060059
8/10/2010,1868.880005
8/11/2010,1817.130005
8/12/2010,1807.609985
8/13/2010,1800.390015
8/16/2010,1800.699951
8/17/2010,1823.180054
8/18/2010,1826.140015
8/19/2010,1795.23999
8/20/2010,1788.670044
8/23/2010,1781.469971
8/24/2010,1755.650024
8/25/2010,1761.619995
8/26/2010,1748.140015
8/27/2010,1777.599976
8/30/2010,1751.790039
8/31/2010,1752.550049
9/1/2010,1804.459961
9/2/2010,1820.97998
9/3/2010,1845.099976
9/7/2010,1824.050049
9/8/2010,1836.209961
9/9/2010,1845.089966
9/10/2010,1854.099976
9/13/2010,1875.410034
9/14/2010,1874.069946
9/15/2010,1880.73999
9/16/2010,1880.369995
9/17/2010,1881.930054
9/20/2010,1910.599976
9/21/2010,1905.73999
9/22/2010,1896.77002
9/23/2010,1880.969971
9/24/2010,1920.839966
9/27/2010,1909.97998
9/28/2010,1919.589966
9/29/2010,1914.839966
9/30/2010,1908.949951
10/1/2010,1917.420044
10/4/2010,1902.150024
10/5/2010,1941.819946
10/6/2010,1941.5
10/7/2010,1938.310059
10/8/2010,1950.180054
10/11/2010,1950.469971
10/12/2010,1957.920044
10/13/2010,1972.079956
10/14/2010,1964.900024
10/15/2010,1968.869995
10/18/2010,1983.170044
10/19/2010,1951.670044
10/20/2010,1972.51001
10/21/2010,1976.119995
10/22/2010,1980.829956
10/25/2010,1985.109985
10/26/2010,1985.130005
10/27/2010,1980.050049
10/28/2010,1982.449951
10/29/2010,1981.589966
11/1/2010,1983.469971
11/2/2010,1998.859985
11/3/2010,2006.579956
11/4/2010,2045.619995
11/5/2010,2053.77002
11/8/2010,2049.689941
11/9/2010,2033.849976
11/10/2010,2043.160034
11/11/2010,2034.47998
11/12/2010,2010.569946
11/15/2010,2008.25
11/16/2010,1976.26001
11/17/2010,1977
11/18/2010,2007.380005
11/19/2010,2012.589966
11/22/2010,2009.52002
11/23/2010,1980.890015
11/24/2010,2010.560059
11/26/2010,1996.030029
