,ticker,year,month,date
0,ALXN,2000,5,2000-05-01
1,ALXN,2000,6,2000-06-01
2,ALXN,2000,7,2000-07-01
3,ALXN,2000,8,2000-08-01
4,ALXN,2000,9,2000-09-01
5,ALXN,2000,10,2000-10-01
6,ALXN,2000,11,2000-11-01
7,ALXN,2000,12,2000-12-01
8,ALXN,2001,1,2001-01-01
9,ALXN,2001,2,2001-02-01
10,ALXN,2001,3,2001-03-01
11,ALXN,2001,4,2001-04-01
12,ALXN,2001,5,2001-05-01
13,ALXN,2001,6,2001-06-01
14,ALXN,2001,7,2001-07-01
15,ALXN,2001,8,2001-08-01
16,ALXN,2001,9,2001-09-01
17,ALXN,2001,10,2001-10-01
18,ALXN,2001,11,2001-11-01
19,ALXN,2001,12,2001-12-01
20,ALXN,2002,1,2002-01-01
21,ALXN,2002,2,2002-02-01
22,ALXN,2002,3,2002-03-01
23,ALXN,2002,4,2002-04-01
24,ALXN,2002,5,2002-05-01
25,ALXN,2002,6,2002-06-01
26,ALXN,2002,7,2002-07-01
27,ALXN,2002,8,2002-08-01
28,ALXN,2002,9,2002-09-01
29,ALXN,2002,10,2002-10-01
30,ALXN,2002,11,2002-11-01
31,ALXN,2002,12,2002-12-01
32,ALXN,2003,1,2003-01-01
33,ALXN,2003,2,2003-02-01
34,ALXN,2003,3,2003-03-01
35,ALXN,2003,4,2003-04-01
36,ALXN,2003,5,2003-05-01
37,ALXN,2003,6,2003-06-01
38,ALXN,2003,7,2003-07-01
39,ALXN,2003,8,2003-08-01
40,ALXN,2003,9,2003-09-01
41,ALXN,2003,10,2003-10-01
42,ALXN,2003,11,2003-11-01
43,ALXN,2003,12,2003-12-01
44,ALXN,2004,1,2004-01-01
45,ALXN,2004,2,2004-02-01
46,ALXN,2004,3,2004-03-01
47,ALXN,2004,4,2004-04-01
48,ALXN,2004,5,2004-05-01
49,ALXN,2004,6,2004-06-01
50,ALXN,2004,7,2004-07-01
51,ALXN,2004,8,2004-08-01
52,ALXN,2004,9,2004-09-01
53,ALXN,2004,10,2004-10-01
54,ALXN,2004,11,2004-11-01
55,ALXN,2004,12,2004-12-01
56,ALXN,2005,1,2005-01-01
57,ALXN,2005,2,2005-02-01
58,ALXN,2005,3,2005-03-01
59,ALXN,2005,4,2005-04-01
60,ALXN,2005,5,2005-05-01
61,ALXN,2005,6,2005-06-01
62,ALXN,2005,7,2005-07-01
63,ALXN,2005,8,2005-08-01
64,ALXN,2005,9,2005-09-01
65,ALXN,2005,10,2005-10-01
66,ALXN,2005,11,2005-11-01
67,ALXN,2005,12,2005-12-01
68,ALXN,2006,1,2006-01-01
69,ALXN,2006,2,2006-02-01
70,ALXN,2006,3,2006-03-01
71,ALXN,2006,4,2006-04-01
72,ALXN,2006,5,2006-05-01
73,ALXN,2006,6,2006-06-01
74,ALXN,2006,7,2006-07-01
75,ALXN,2006,8,2006-08-01
76,ALXN,2006,9,2006-09-01
77,ALXN,2006,10,2006-10-01
78,ALXN,2006,11,2006-11-01
79,ALXN,2006,12,2006-12-01
80,ALXN,2007,1,2007-01-01
81,ALXN,2007,2,2007-02-01
82,ALXN,2007,3,2007-03-01
83,ALXN,2007,4,2007-04-01
84,ALXN,2007,5,2007-05-01
85,ALXN,2007,6,2007-06-01
86,ALXN,2007,7,2007-07-01
87,ALXN,2007,8,2007-08-01
88,ALXN,2007,9,2007-09-01
89,ALXN,2007,10,2007-10-01
90,ALXN,2007,11,2007-11-01
91,ALXN,2007,12,2007-12-01
92,ALXN,2008,1,2008-01-01
93,ALXN,2008,2,2008-02-01
94,ALXN,2008,3,2008-03-01
95,ALXN,2008,4,2008-04-01
96,ALXN,2008,5,2008-05-01
97,ALXN,2008,6,2008-06-01
98,ALXN,2008,7,2008-07-01
99,ALXN,2008,8,2008-08-01
100,ALXN,2008,9,2008-09-01
101,ALXN,2008,10,2008-10-01
102,ALXN,2008,11,2008-11-01
103,ALXN,2008,12,2008-12-01
104,ALXN,2009,1,2009-01-01
105,ALXN,2009,2,2009-02-01
106,ALXN,2009,3,2009-03-01
107,ALXN,2009,4,2009-04-01
108,ALXN,2009,5,2009-05-01
109,ALXN,2009,6,2009-06-01
110,ALXN,2009,7,2009-07-01
111,ALXN,2009,8,2009-08-01
112,ALXN,2009,9,2009-09-01
113,ALXN,2009,10,2009-10-01
114,ALXN,2009,11,2009-11-01
115,ALXN,2009,12,2009-12-01
116,ALXN,2010,1,2010-01-01
117,ALXN,2010,2,2010-02-01
118,ALXN,2010,3,2010-03-01
119,ALXN,2010,4,2010-04-01
120,ALXN,2010,5,2010-05-01
121,ALXN,2010,6,2010-06-01
122,ALXN,2010,7,2010-07-01
123,ALXN,2010,8,2010-08-01
124,ALXN,2010,9,2010-09-01
125,ALXN,2010,10,2010-10-01
126,ALXN,2010,11,2010-11-01
127,ALXN,2010,12,2010-12-01
128,ALXN,2011,1,2011-01-01
129,ALXN,2011,2,2011-02-01
130,ALXN,2011,3,2011-03-01
131,ALXN,2011,4,2011-04-01
132,ALXN,2011,5,2011-05-01
133,ALXN,2011,6,2011-06-01
134,ALXN,2011,7,2011-07-01
135,ALXN,2011,8,2011-08-01
136,ALXN,2011,9,2011-09-01
137,ALXN,2011,10,2011-10-01
138,ALXN,2011,11,2011-11-01
139,ALXN,2011,12,2011-12-01
140,ALXN,2012,1,2012-01-01
141,ALXN,2012,2,2012-02-01
142,ALXN,2012,3,2012-03-01
143,ALXN,2012,4,2012-04-01
144,ALXN,2012,5,2012-05-01
145,ALXN,2012,6,2012-06-01
146,ALXN,2012,7,2012-07-01
147,ALXN,2012,8,2012-08-01
148,ALXN,2012,9,2012-09-01
149,ALXN,2012,10,2012-10-01
150,ALXN,2012,11,2012-11-01
151,ALXN,2012,12,2012-12-01
152,ALXN,2013,1,2013-01-01
153,ALXN,2013,2,2013-02-01
154,ALXN,2013,3,2013-03-01
155,ALXN,2013,4,2013-04-01
156,ALXN,2013,5,2013-05-01
157,ALXN,2013,6,2013-06-01
158,ALXN,2013,7,2013-07-01
159,ALXN,2013,8,2013-08-01
160,ALXN,2013,9,2013-09-01
161,ALXN,2013,10,2013-10-01
162,ALXN,2013,11,2013-11-01
163,ALXN,2013,12,2013-12-01
164,ALXN,2014,1,2014-01-01
165,ALXN,2014,2,2014-02-01
166,ALXN,2014,3,2014-03-01
167,ALXN,2014,4,2014-04-01
168,ALXN,2014,5,2014-05-01
169,ALXN,2014,6,2014-06-01
170,ALXN,2014,7,2014-07-01
171,ALXN,2014,8,2014-08-01
172,ALXN,2014,9,2014-09-01
173,ALXN,2014,10,2014-10-01
174,ALXN,2014,11,2014-11-01
175,ALXN,2014,12,2014-12-01
176,ALXN,2015,1,2015-01-01
177,ALXN,2015,2,2015-02-01
178,ALXN,2015,3,2015-03-01
179,ALXN,2015,4,2015-04-01
180,ALXN,2015,5,2015-05-01
181,ALXN,2015,6,2015-06-01
182,ALXN,2015,7,2015-07-01
183,ALXN,2015,8,2015-08-01
184,ALXN,2015,9,2015-09-01
185,ALXN,2015,10,2015-10-01
186,ALXN,2015,11,2015-11-01
187,ALXN,2015,12,2015-12-01
188,ALXN,2016,1,2016-01-01
189,ALXN,2016,2,2016-02-01
190,ALXN,2016,3,2016-03-01
191,ALXN,2016,4,2016-04-01
192,ALXN,2016,5,2016-05-01
193,ALXN,2016,6,2016-06-01
194,ALXN,2016,7,2016-07-01
195,ALXN,2016,8,2016-08-01
196,ALXN,2016,9,2016-09-01
197,ALXN,2016,10,2016-10-01
198,ALXN,2016,11,2016-11-01
199,ALXN,2016,12,2016-12-01
200,ALXN,2017,1,2017-01-01
201,ALXN,2017,2,2017-02-01
202,ALXN,2017,3,2017-03-01
203,ALXN,2017,4,2017-04-01
204,ALXN,2017,5,2017-05-01
205,ALXN,2017,6,2017-06-01
206,ALXN,2017,7,2017-07-01
207,ALXN,2017,8,2017-08-01
208,ALXN,2017,9,2017-09-01
209,ALXN,2017,10,2017-10-01
210,ALXN,2017,11,2017-11-01
211,ALXN,2017,12,2017-12-01
212,ALXN,2018,1,2018-01-01
213,ALXN,2018,2,2018-02-01
214,ALXN,2018,3,2018-03-01
215,ALXN,2018,4,2018-04-01
216,ALXN,2018,5,2018-05-01
217,ALXN,2018,6,2018-06-01
218,ALXN,2018,7,2018-07-01
219,ALXN,2018,8,2018-08-01
220,ALXN,2018,9,2018-09-01
221,ALXN,2018,10,2018-10-01
222,ALXN,2018,11,2018-11-01
223,ALXN,2018,12,2018-12-01
224,ALXN,2019,1,2019-01-01
225,ALXN,2019,2,2019-02-01
226,ALXN,2019,3,2019-03-01
227,ALXN,2019,4,2019-04-01
228,ALXN,2019,5,2019-05-01
229,ALXN,2019,6,2019-06-01
230,ALXN,2019,7,2019-07-01
231,ALXN,2019,8,2019-08-01
232,ALXN,2019,9,2019-09-01
233,ALXN,2019,10,2019-10-01
234,ALXN,2019,11,2019-11-01
235,AMGN,2000,5,2000-05-01
236,AMGN,2000,6,2000-06-01
237,AMGN,2000,7,2000-07-01
238,AMGN,2000,8,2000-08-01
239,AMGN,2000,9,2000-09-01
240,AMGN,2000,10,2000-10-01
241,AMGN,2000,11,2000-11-01
242,AMGN,2000,12,2000-12-01
243,AMGN,2001,1,2001-01-01
244,AMGN,2001,2,2001-02-01
245,AMGN,2001,3,2001-03-01
246,AMGN,2001,4,2001-04-01
247,AMGN,2001,5,2001-05-01
248,AMGN,2001,6,2001-06-01
249,AMGN,2001,7,2001-07-01
250,AMGN,2001,8,2001-08-01
251,AMGN,2001,9,2001-09-01
252,AMGN,2001,10,2001-10-01
253,AMGN,2001,11,2001-11-01
254,AMGN,2001,12,2001-12-01
255,AMGN,2002,1,2002-01-01
256,AMGN,2002,2,2002-02-01
257,AMGN,2002,3,2002-03-01
258,AMGN,2002,4,2002-04-01
259,AMGN,2002,5,2002-05-01
260,AMGN,2002,6,2002-06-01
261,AMGN,2002,7,2002-07-01
262,AMGN,2002,8,2002-08-01
263,AMGN,2002,9,2002-09-01
264,AMGN,2002,10,2002-10-01
265,AMGN,2002,11,2002-11-01
266,AMGN,2002,12,2002-12-01
267,AMGN,2003,1,2003-01-01
268,AMGN,2003,2,2003-02-01
269,AMGN,2003,3,2003-03-01
270,AMGN,2003,4,2003-04-01
271,AMGN,2003,5,2003-05-01
272,AMGN,2003,6,2003-06-01
273,AMGN,2003,7,2003-07-01
274,AMGN,2003,8,2003-08-01
275,AMGN,2003,9,2003-09-01
276,AMGN,2003,10,2003-10-01
277,AMGN,2003,11,2003-11-01
278,AMGN,2003,12,2003-12-01
279,AMGN,2004,1,2004-01-01
280,AMGN,2004,2,2004-02-01
281,AMGN,2004,3,2004-03-01
282,AMGN,2004,4,2004-04-01
283,AMGN,2004,5,2004-05-01
284,AMGN,2004,6,2004-06-01
285,AMGN,2004,7,2004-07-01
286,AMGN,2004,8,2004-08-01
287,AMGN,2004,9,2004-09-01
288,AMGN,2004,10,2004-10-01
289,AMGN,2004,11,2004-11-01
290,AMGN,2004,12,2004-12-01
291,AMGN,2005,1,2005-01-01
292,AMGN,2005,2,2005-02-01
293,AMGN,2005,3,2005-03-01
294,AMGN,2005,4,2005-04-01
295,AMGN,2005,5,2005-05-01
296,AMGN,2005,6,2005-06-01
297,AMGN,2005,7,2005-07-01
298,AMGN,2005,8,2005-08-01
299,AMGN,2005,9,2005-09-01
300,AMGN,2005,10,2005-10-01
301,AMGN,2005,11,2005-11-01
302,AMGN,2005,12,2005-12-01
303,AMGN,2006,1,2006-01-01
304,AMGN,2006,2,2006-02-01
305,AMGN,2006,3,2006-03-01
306,AMGN,2006,4,2006-04-01
307,AMGN,2006,5,2006-05-01
308,AMGN,2006,6,2006-06-01
309,AMGN,2006,7,2006-07-01
310,AMGN,2006,8,2006-08-01
311,AMGN,2006,9,2006-09-01
312,AMGN,2006,10,2006-10-01
313,AMGN,2006,11,2006-11-01
314,AMGN,2006,12,2006-12-01
315,AMGN,2007,1,2007-01-01
316,AMGN,2007,2,2007-02-01
317,AMGN,2007,3,2007-03-01
318,AMGN,2007,4,2007-04-01
319,AMGN,2007,5,2007-05-01
320,AMGN,2007,6,2007-06-01
321,AMGN,2007,7,2007-07-01
322,AMGN,2007,8,2007-08-01
323,AMGN,2007,9,2007-09-01
324,AMGN,2007,10,2007-10-01
325,AMGN,2007,11,2007-11-01
326,AMGN,2007,12,2007-12-01
327,AMGN,2008,1,2008-01-01
328,AMGN,2008,2,2008-02-01
329,AMGN,2008,3,2008-03-01
330,AMGN,2008,4,2008-04-01
331,AMGN,2008,5,2008-05-01
