,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2000-01-20,0.1868758304401869,0.4525929378652152,0.0,582.0,1
1,2000-01-27,0.15595079717030938,0.47838225460176687,0.0,298.0,1
2,2000-02-14,0.1366121457159193,0.43219506908186184,1.0,637.0,1
3,2000-03-29,0.15982650162337667,0.3923904220779221,0.0,193.0,1
4,2000-04-06,0.13223539457484415,0.496365853819982,1.0,539.0,1
5,2000-05-04,0.20016201841423084,0.49418125630515003,3.0,656.0,1
6,2000-05-18,0.1321109446109446,0.3566523754023754,0.0,362.0,1
7,2000-06-01,0.09839341692789966,0.4334378265412748,0.0,371.0,1
8,2000-06-29,0.13637131685518786,0.33261957128892616,0.0,430.0,1
9,2000-07-01,0.12958333333333333,0.40125,0.0,153.0,1
10,2000-07-02,0.14040697674418606,0.4636950904392766,0.0,336.0,1
11,2000-07-27,0.15503246753246758,0.42383137207080857,0.0,518.0,1
12,2000-08-03,0.12241612554112555,0.45040246212121215,0.0,199.0,1
13,2000-08-10,0.18395061728395065,0.5398148148148149,0.0,247.0,1
14,2000-08-14,0.11355476534047962,0.48425882979454404,0.0,426.0,1
15,2000-08-31,0.17087954373668657,0.46393521381616615,0.0,467.0,1
16,2000-09-04,0.08418506136327923,0.46594277559624087,1.0,670.0,1
17,2000-10-19,0.08314475928112293,0.4074281778827234,0.0,453.0,1
18,2000-10-22,0.19692801026134354,0.44067420234086896,0.0,247.0,1
19,2000-10-26,0.16733091787439616,0.40090579710144925,1.0,405.0,1
20,2000-11-05,0.13340909090909087,0.4227354312354312,4.0,326.0,1
21,2000-11-23,0.16354166666666667,0.46793981481481484,0.0,244.0,1
22,2000-12-07,0.13591831665602155,0.4036530409481228,0.0,426.0,1
23,2000-12-11,0.07349598930481283,0.4027947542653425,0.0,230.0,1
24,2000-12-21,0.10663242899267743,0.48500237512659883,1.0,963.0,1
25,2000-12-28,0.14108798064680417,0.48167048637636883,0.0,360.0,1
26,2001-01-09,0.13623737373737374,0.37604166666666666,0.0,211.0,1
27,2001-01-11,0.04359788359788362,0.4003703703703704,0.0,252.0,1
28,2001-01-17,-0.012952039142515335,0.4443848039086134,0.0,369.0,1
29,2001-01-18,0.17029131898697117,0.4433999414434197,0.5,357.0,2
30,2001-01-26,0.10785123966942148,0.2443526170798898,0.0,100.0,1
31,2001-01-29,0.08349347129834936,0.5516876077851686,0.0,258.0,1
32,2001-02-01,0.18673765794644914,0.5091703717527893,0.0,687.0,1
33,2001-02-08,0.15126586057620542,0.4710079862666069,0.0,355.0,1
34,2001-02-19,0.0780390442890443,0.4238873626373626,0.0,225.0,1
35,2001-02-22,0.09294682413103467,0.3899066954001164,0.0,435.0,2
36,2001-03-01,0.06111208372237783,0.3635212418300653,0.0,687.0,1
37,2001-03-03,0.15951115983583514,0.4813768482599651,0.0,438.0,1
38,2001-03-08,0.061571385560375905,0.4154613981614519,0.0,393.5,2
39,2001-03-15,0.13592271398192451,0.46830656551051303,0.0,622.0,1
40,2001-03-17,0.2058518862090291,0.4735652442795299,0.0,210.0,1
41,2001-03-26,0.1255949741315595,0.3363599408721359,1.0,235.0,1
42,2001-04-05,0.12180969421592946,0.4395593678876626,0.0,478.5,2
43,2001-04-08,0.25654461279461277,0.48203914141414134,0.0,234.0,1
44,2001-04-12,0.15495630912297584,0.5264159451659451,0.0,575.0,1
45,2001-04-26,0.14518564768564765,0.4471878121878121,0.0,477.0,1
46,2001-05-03,0.20571145521145517,0.5345512863205171,0.0,448.0,1
47,2001-05-10,0.12335517335517335,0.3794825669825669,0.0,456.0,1
48,2001-05-11,0.1661926574717272,0.5290647337158966,0.0,371.0,1
49,2001-05-14,0.10433556342647247,0.3528007346189166,0.0,444.0,1
50,2001-05-17,0.14957825727724042,0.42877586600325035,0.0,348.0,3
51,2001-05-24,0.11638168590151318,0.4658745210512728,0.0,406.75,4
52,2001-05-31,0.1615795543254559,0.4344721808246399,0.0,427.0,1
53,2001-06-03,0.06456655844155844,0.4324718614718615,0.0,357.0,1
54,2001-06-10,0.17330693296602387,0.37819182080545705,0.0,517.0,1
55,2001-06-27,0.08215452847805789,0.46649548708372235,0.0,364.0,1
56,2001-06-28,0.005990943921978412,0.520535403294024,0.0,388.0,1
57,2001-07-02,0.18163265306122445,0.40634920634920624,0.0,197.0,1
58,2001-07-03,0.11045298545298546,0.4432695682695682,0.0,278.0,1
59,2001-07-12,0.11214061291492643,0.5184310282775958,0.0,334.2,5
60,2001-07-14,0.13748196248196248,0.33839632589632596,0.0,421.0,1
61,2001-07-19,0.15979437229437232,0.4961580086580087,0.0,213.0,1
62,2001-07-23,0.2804659609796596,0.5477496590167823,0.0,473.0,1
63,2001-07-26,0.1658922558922559,0.5001016113516114,0.0,388.0,1
64,2001-08-07,0.10102170376017337,0.2995311253696998,0.3333333333333333,387.0,3
65,2001-08-08,0.018795032396183683,0.3596366242634228,0.0,506.3333333333333,3
66,2001-08-09,0.14508881922675027,0.4516849529780563,0.0,374.0,1
67,2001-08-12,0.09461080990207202,0.4542817215147312,0.0,488.0,1
68,2001-08-13,0.14420400816677414,0.475664653756409,0.0,234.5,2
69,2001-08-16,0.10647189346059484,0.5090954112471561,0.0,374.0,2
70,2001-08-29,0.14934648684648688,0.4983252858252858,0.0,252.0,1
71,2001-09-01,0.09514648571217912,0.42145437692882953,0.0,616.0,1
72,2001-09-03,0.12469470736419887,0.5162833541223371,0.0,210.0,1
73,2001-09-06,0.11762993461937124,0.5107865608569833,1.0,839.0,1
74,2001-09-13,0.16024452861952862,0.4654742664742665,0.0,385.0,1
75,2001-09-17,0.0337061087061087,0.43932780182780173,1.0,564.0,1
76,2001-09-18,0.08409090909090908,0.43530303030303025,0.0,112.0,1
77,2001-09-22,0.1688829286655374,0.5422820335863814,0.0,403.0,1
78,2001-09-25,0.19994588744588743,0.39069264069264065,0.0,207.0,1
79,2001-10-04,0.17135416666666664,0.39791666666666664,0.0,388.0,1
80,2001-10-06,0.12279411764705882,0.4321078431372549,0.0,262.0,1
81,2001-10-11,0.20638653981677244,0.42736081747709653,0.0,384.0,1
82,2001-10-13,0.1723324514991182,0.35947971781305105,0.0,352.0,1
83,2001-10-18,0.07997051237465949,0.43595120827123945,0.0,702.5,2
84,2001-10-25,0.06216462445276004,0.46078460146256756,0.0,540.0,1
85,2001-10-26,0.1532019412878788,0.4253432765151515,0.0,378.0,1
86,2001-10-31,0.08462859891431321,0.4858147804576375,0.0,447.0,1
87,2001-11-05,0.10653083708230765,0.42315398381574865,0.0,834.0,1
88,2001-11-10,0.24896221532091098,0.5773447204968943,1.0,207.0,1
89,2001-11-13,0.09281198686371105,0.4258456486042693,0.0,187.0,1
90,2001-11-20,0.09092570974593446,0.3822263566645588,0.0,635.0,1
91,2001-11-22,0.051280991735537185,0.34649940968122783,0.0,402.0,1
92,2001-11-25,-0.010101010101010098,0.4847222222222223,0.0,356.0,1
93,2001-11-26,0.061111111111111116,0.440079365079365,0.0,210.0,1
94,2001-11-28,-0.04166666666666668,0.49166666666666664,0.0,26.0,1
95,2001-11-29,0.16527192297684096,0.49927140255009106,0.0,411.0,1
96,2001-12-03,0.008333333333333326,0.46249999999999997,0.0,215.0,1
97,2001-12-06,0.24124862066038538,0.5212255609314431,0.0,349.0,1
98,2001-12-07,0.18000000000000002,0.4699999999999999,0.0,53.0,1
99,2001-12-10,0.06463203463203464,0.3257377097788057,0.0,453.0,2
100,2001-12-12,0.34866071428571427,0.4433035714285714,0.0,42.0,1
101,2001-12-13,0.17864128949677122,0.5201539331377372,0.0,406.5,2
102,2001-12-19,1.0,0.3,0.0,15.0,1
103,2001-12-20,0.16818139293546067,0.43177838916241,0.3333333333333333,362.0,3
104,2001-12-27,0.11594844180210034,0.4542719881744272,0.0,1066.0,1
105,2002-01-14,0.029763544536271804,0.49088449429358516,0.0,211.0,1
106,2002-01-16,0.05430303823160966,0.4430835037977895,0.0,652.0,1
107,2002-01-17,0.09020137357401506,0.4590964695681677,0.5,757.0,2
108,2002-01-21,0.0842746069719754,0.42358452950558206,0.0,213.0,1
109,2002-01-24,0.1535825298983194,0.42911280641543814,0.0,467.5,2
110,2002-01-25,0.266232637976059,0.44642584389294915,0.0,356.0,1
111,2002-01-27,0.3266121809225257,0.5653835149524804,0.0,340.0,1
112,2002-01-28,0.1423800505050505,0.403074494949495,0.0,227.0,1
113,2002-01-29,0.0,0.0,0.0,7.0,1
114,2002-02-01,0.07964701031927922,0.4408775631464706,3.0,900.0,1
115,2002-02-02,0.11728789617343835,0.4984695926563396,0.0,577.0,1
116,2002-02-04,0.20065267585846858,0.5066194574959819,0.0,226.0,2
117,2002-02-05,0.17138923083235869,0.3636444164050797,1.0,1175.0,1
118,2002-02-07,0.1622527220254493,0.4427788709606892,0.0,207.33333333333334,3
119,2002-02-11,0.0,0.0,0.0,6.0,1
120,2002-02-14,0.04041429635179635,0.45873961975524485,0.0,1329.0,1
121,2002-02-18,0.13486652236652236,0.4041222666222666,0.0,199.0,1
122,2002-02-21,0.14353928672671962,0.47313868611398147,0.0,405.0,2
123,2002-02-24,0.15085858585858586,0.4461489898989899,0.0,125.0,1
124,2002-02-25,0.15289473684210525,0.41846491228070176,0.0,227.0,1
125,2002-02-26,0.02291666666666667,0.5006944444444444,0.0,223.0,1
126,2002-02-27,0.07933160974827641,0.42215768799102127,0.0,293.0,2
127,2002-02-28,0.07382821723730815,0.4493945953036862,0.0,491.0,1
128,2002-03-04,0.03510764037549752,0.4115213073137179,0.0,1368.0,1
129,2002-03-07,0.14134056732740943,0.5016907799802537,0.0,432.0,1
130,2002-03-10,0.10699701092558239,0.45002499484642333,0.0,449.0,1
131,2002-03-11,0.11862165612165611,0.4168747918747918,0.0,225.0,1
132,2002-03-14,0.18619238449442582,0.47026262408066843,0.0,452.0,2
133,2002-03-22,0.35,0.75,0.0,39.0,1
134,2002-03-24,0.0963412282162282,0.4053310578310579,2.0,511.0,1
135,2002-03-25,0.08138835160111754,0.496875671609714,0.0,250.0,2
136,2002-03-28,0.03476082251082253,0.4503191438191441,1.0,323.0,1
137,2002-03-31,0.13387802180659322,0.40820981603124457,1.5,729.0,2
138,2002-04-02,0.25,1.0,0.0,6.0,1
139,2002-04-03,0.65,0.875,0.0,14.0,1
140,2002-04-04,0.1499715772443045,0.39916070881979976,0.0,426.0,1
141,2002-04-08,0.10753940288824014,0.4605845016310132,0.0,795.0,1
142,2002-04-10,0.1149350649350649,0.3743506493506494,0.0,86.0,1
143,2002-04-11,0.1429387986227609,0.4297034700100738,0.0,390.0,2
144,2002-04-16,0.20833333333333334,0.44666666666666666,0.0,15.0,1
145,2002-04-18,0.15292970876196682,0.49292378469797826,0.0,412.0,2
146,2002-04-22,0.09360080474740404,0.43317241883763025,0.0,515.0,2
147,2002-04-25,0.0998690563249387,0.46973560644148876,0.0,398.3333333333333,3
148,2002-04-29,0.19999999999999998,0.4606837606837607,0.0,224.0,1
149,2002-05-02,0.16288145362565257,0.5450983152108859,0.0,468.0,5
150,2002-05-03,0.1526049585424585,0.42951206888706883,0.0,450.3333333333333,3
151,2002-05-06,0.1484564654095904,0.3834707653457654,0.5,335.0,2
152,2002-05-07,0.13596580086580085,0.3789891774891775,0.0,317.0,2
153,2002-05-09,0.10012862928500282,0.4843384431545251,0.25,363.25,4
154,2002-05-12,0.07023685127133401,0.45830988934437206,0.0,437.0,1
155,2002-05-15,0.10466769094001234,0.43507073283859016,0.0,739.0,1
156,2002-05-16,0.1298790356964905,0.452107557834317,0.0,405.6666666666667,3
157,2002-05-18,0.011385908777213117,0.3827273982056592,1.0,972.0,1
158,2002-05-20,0.2430919774669775,0.6157439782439782,0.0,95.0,3
159,2002-05-22,0.11206145517370004,0.4190525272157926,0.0,1033.0,1
160,2002-05-23,0.10434287150014347,0.44301994401993167,0.3333333333333333,511.6666666666667,3
161,2002-05-25,-0.025,0.04166666666666667,0.0,17.0,2
162,2002-05-27,0.11361397223466188,0.43587102552619794,0.0,195.0,1
163,2002-05-30,0.2425071022727272,0.4821732954545455,0.0,443.0,1
164,2002-06-02,0.007473580341227405,0.44790679908326964,0.0,217.0,1
165,2002-06-03,0.39621212121212124,0.5943181818181817,0.0,191.0,1
166,2002-06-05,0.20556932102984726,0.45848712690817955,0.0,384.0,1
167,2002-06-06,0.12200250184733799,0.44607784589164934,0.0,415.5,2
168,2002-06-07,0.07407367489326254,0.4988152660626885,0.0,551.0,1
169,2002-06-09,0.11022727272727273,0.5361111111111111,0.0,63.0,1
170,2002-06-10,0.10928098391674551,0.45946785479898067,0.0,523.0,2
171,2002-06-13,0.13693604879968516,0.4504398429852975,1.0,600.5,2
172,2002-06-17,0.35000000000000003,0.275,0.0,19.0,1
173,2002-06-20,0.007811977214492949,0.5310480629898869,0.0,301.6666666666667,3
174,2002-06-22,0.2250327523353839,0.45807701070858964,0.0,184.0,1
175,2002-06-24,0.03311425061425062,0.4505733005733007,0.0,219.0,1
176,2002-06-27,0.1664362502658929,0.4670889868265062,0.0,466.6666666666667,3
177,2002-07-02,0.10232714382995285,0.34100393988034433,0.0,704.0,1
178,2002-07-06,0.17155572083083498,0.4619877756692824,0.0,468.5,2
179,2002-07-09,0.5,0.75,0.0,28.0,1
180,2002-07-11,0.1186346848571673,0.4584966807197486,0.0,485.5,2
181,2002-07-18,0.14359266443594434,0.47730563433943907,0.0,491.3333333333333,3
182,2002-07-22,0.030884166338711792,0.3341148497966681,0.0,555.0,1
183,2002-07-25,0.12101862029204785,0.4201956871279371,0.0,384.0,2
184,2002-08-01,0.1618428883691211,0.4554161403874444,0.0,395.6,5
185,2002-08-03,0.22039311263449188,0.5136418753660132,1.0,940.0,1
186,2002-08-12,0.06977564102564106,0.4443589743589744,0.0,226.0,1
187,2002-08-14,0.12308558558558562,0.5158783783783785,0.0,351.0,1
188,2002-08-15,0.1257166962390843,0.4626326409908499,0.0,422.0,1
189,2002-08-17,0.10346588956978572,0.43421078440558974,0.0,1347.0,1
190,2002-08-19,0.11237228415799844,0.4569020504734791,0.0,179.66666666666666,3
