,date,sentiment_polarity,sentiment_subjectivity,word_count,total_words,no_articles
0,2000-01-02,0.11397781385281387,0.4620217803030303,10.0,962.0,1
1,2000-01-03,0.05847854805601283,0.44052257992398847,0.0,494.0,1
2,2000-01-05,0.10901266526266533,0.41888201888201887,0.0,513.0,1
3,2000-01-07,0.030810041407867493,0.46948757763975163,0.0,233.0,1
4,2000-01-08,0.1545195350540948,0.4041973759853993,0.0,462.0,2
5,2000-01-11,0.0921875,0.41406249999999994,0.0,115.0,1
6,2000-01-14,0.04200336700336699,0.4102272727272727,0.0,181.0,1
7,2000-01-17,0.058681551287517196,0.4257347217702331,0.6,318.8,5
8,2000-01-18,0.10688941994385542,0.41294097927162443,0.0,196.5,4
9,2000-01-19,0.039943069887505046,0.3969206476208482,1.75,437.25,4
10,2000-01-20,-0.000304149873115391,0.38290789670100017,0.0,223.0,1
11,2000-01-21,0.18468778696051424,0.5418044077134986,1.0,204.0,1
12,2000-01-22,0.15138400999078083,0.47528450566066294,1.5,389.5,2
13,2000-01-23,0.07362824069225278,0.4250407676820834,0.6666666666666666,527.3333333333334,3
14,2000-01-26,0.08908503401360546,0.46393650793650787,1.0,425.0,1
15,2000-01-27,0.08550284090909091,0.34924558080808077,2.0,432.0,1
16,2000-01-28,0.03889981546231545,0.31744560994560994,0.5,151.5,2
17,2000-01-31,0.11021594684385382,0.40531561461794025,0.0,329.0,1
18,2000-02-01,0.08853533472700138,0.4246296993130325,0.0,280.0,2
19,2000-02-08,0.07989661221092381,0.43070710265758577,0.0,365.0,3
20,2000-02-10,0.07441919191919191,0.3079250841750842,2.0,290.0,1
21,2000-02-12,0.12167594310451453,0.350439084724799,0.0,342.0,1
22,2000-02-13,0.0420545634920635,0.4536475088032007,0.0,600.5,2
23,2000-02-17,0.07401667046403891,0.44263005999848093,0.0,385.0,1
24,2000-02-21,0.10589126818502714,0.42010934824779866,0.5,233.0,2
25,2000-02-22,0.049887955182072834,0.5306092436974791,0.0,388.0,1
26,2000-02-25,0.1513877615440115,0.45170219248344246,0.0,941.0,1
27,2000-02-26,0.09562675433944921,0.4573659563648431,0.0,2625.0,1
28,2000-02-27,0.10854166666666668,0.4395535714285715,0.0,223.0,1
29,2000-02-29,0.04073459592700788,0.47194487004514096,0.0,256.6666666666667,3
30,2000-03-01,0.06589063714063714,0.28091270486619324,2.0,156.0,2
31,2000-03-02,0.028009259259259258,0.44930555555555557,0.0,287.0,1
32,2000-03-11,0.10363314764477553,0.4660267962012148,1.0,701.0,1
33,2000-03-18,0.07801648705904025,0.41770862116606805,0.0,314.0,1
34,2000-03-22,0.0729236812570146,0.4140923120089786,1.0,235.0,1
35,2000-03-24,0.10576195781342837,0.4170263666072489,0.0,328.0,2
36,2000-03-25,0.07868059069357772,0.47651140345945536,0.0,430.0,1
37,2000-03-27,0.05748272195640616,0.38541998936735783,0.0,108.0,1
38,2000-03-28,0.1178803183348638,0.39355218855218854,4.0,239.0,1
39,2000-03-31,0.10395061728395062,0.4171604938271605,2.0,283.0,1
40,2000-04-01,0.11932074504442926,0.48738493962178164,0.0,495.0,1
