,ticker,filing_type,path,datettime
0,GOOG,10-K,downloaded\SEC\sec_edgar_filings\GOOG\10-K\0001652044-16-000012.txt,20160211163835
1,GOOG,10-K,downloaded\SEC\sec_edgar_filings\GOOG\10-K\0001652044-17-000008.txt,20170202181347
2,GOOG,10-K,downloaded\SEC\sec_edgar_filings\GOOG\10-K\0001652044-18-000007.txt,20180205204629
3,GOOG,10-K,downloaded\SEC\sec_edgar_filings\GOOG\10-K\0001652044-19-000004.txt,20190204210638
4,GOOG,10-K,downloaded\SEC\sec_edgar_filings\GOOG\10-K\0001652044-20-000008.txt,20200203210359
5,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-16-000038.txt,20161102174602
6,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-17-000014.txt,20170502162509
7,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-17-000026.txt,20170724182327
8,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-17-000042.txt,20171026174909
9,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-18-000016.txt,20180423185451
10,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-18-000027.txt,20180723210256
11,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-18-000035.txt,20181025174136
12,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-19-000015.txt,20190429193243
13,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-19-000023.txt,20190725181113
14,GOOG,10-Q,downloaded\SEC\sec_edgar_filings\GOOG\10-Q\0001652044-19-000032.txt,20191028190244
15,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001193125-19-129411.txt,20190430162302
16,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001193125-19-178962.txt,20190621171855
17,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001193125-19-305505.txt,20191203192252
18,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001193125-20-005271.txt,20200110131450
19,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-19-000021.txt,20190725160122
20,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-19-000025.txt,20190906170454
21,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-19-000030.txt,20191028160338
22,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-19-000040.txt,20191209164633
23,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-19-000043.txt,20191220110122
24,GOOG,8-K,downloaded\SEC\sec_edgar_filings\GOOG\8-K\0001652044-20-000004.txt,20200203160204
25,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000215457-16-004467.txt,20160128154618
26,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000215457-17-002143.txt,20170130112930
27,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000215457-18-004641.txt,20180201092645
28,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000315066-16-004878.txt,20160212085425
29,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000932471-16-011172.txt,20160210111133
30,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0000932471-16-011177.txt,20160210111513
31,GOOG,SC 13G,downloaded\SEC\sec_edgar_filings\GOOG\SC 13G\0001193125-16-460514.txt,20160211202206
32,GOOG,SD,downloaded\SEC\sec_edgar_filings\GOOG\SD\0001652044-16-000025.txt,20160531170846
33,GOOG,SD,downloaded\SEC\sec_edgar_filings\GOOG\SD\0001652044-17-000017.txt,20170526160308
34,GOOG,SD,downloaded\SEC\sec_edgar_filings\GOOG\SD\0001652044-18-000019.txt,20180530161207
35,GOOG,SD,downloaded\SEC\sec_edgar_filings\GOOG\SD\0001652044-19-000018.txt,20190530160545
36,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-11-001117.txt,201
37,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-12-001742.txt,20120228145220
38,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-13-001698.txt,20130226153535
39,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-14-001302.txt,20140225141324
40,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-15-001106.txt,20150224140809
41,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-16-010329.txt,20160223161919
42,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-17-001061.txt,20170228162336
43,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-18-001117.txt,20180227171357
44,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001047469-19-000712.txt,20190226162759
45,IBM,10-K,downloaded\SEC\sec_edgar_filings\IBM\10-K\0001558370-20-001334.txt,20200225165420
46,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-16-151931.txt,20161025161203
47,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-17-025881.txt,20170425161334
48,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-17-046808.txt,20170725161558
49,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-17-064968.txt,20171031161502
50,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-18-026178.txt,20180424161732
51,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-18-048404.txt,20180731161057
52,IBM,10-Q,downloaded\SEC\sec_edgar_filings\IBM\10-Q\0001104659-18-064673.txt,20181030164346
